variable_id,mz,rt,isotope.dist,M91,M92,M94,M95,M96,M97,M93,M99,M100,M98,M85,M86,M90,M82,M83,M84,M88,M81,M87,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M72,M74,M76,M71,M75,M77,M78,M79,M73,M80,M51,M55,M56,M52,M54,M57,M58,M59,M60,M53,M45,M46,M48,M41,M43,M47,M49,M50,M42,M44,M32,M33,M34,M36,M40,M31,M35,M39,M29,M22,M23,M26,M27,M28,M24,M30,M25,M21,M12,M13,M17,M14,M16,M18,M19,M20,M11,M15,M107,M101,M102,M104,M105,M110,M103,M106,M108,M109
1.77_235.3570m/z,235.3570104,1.7701,100 - 18.3,4602.442493,5929.873896,2173.11603,6985.647425,1822.869723,2403.871428,1949.65489,4356.299186,2761.23032,3664.829805,3682.060005,3063.594821,315.2570668,2035.643219,4188.049619,2470.156093,0,662.693657,1959.76792,2391.431908,703.4549903,1895.933301,2079.082951,0,991.4822245,119.7708375,1434.143031,1253.454283,2103.936432,1900.425756,233.8201504,0,32.70680861,1114.118446,634.6197654,0,670.7829444,366.6533228,3996.436377,851.076565,468.2457261,906.0937695,1274.27276,0,0,0,0,1209.256638,229.5472738,146.1291626,2100.187912,3535.849224,15680.59343,1354.837414,50.92320999,1173.504869,338.3053909,601.2426616,1766.576057,1076.096686,370.9419699,2137.707924,26.42562266,1819.741438,3361.2841,1759.236915,480.8728145,3344.88479,6084.183284,3944.626804,1673.892296,2428.16659,4131.199183,1207.113139,2225.820485,2824.06719,0,36.6819187,3521.221931,1403.404456,121.8727443,4255.752036,864.8025138,1209.164412,882.6102639,0,0,7037.856488,0,2765.195604,762.2631415,1428.39854,22230.04785,2308.347154,8328.146584,5223.026491,15697.68981
1.29_841.3073m/z,841.3072696,1.286566667,100 - 60.7,420.742802,1975.781996,707.0186927,114.5705593,323.3945492,360.3937139,1487.362698,4727.372996,3340.97639,2465.864423,1439.642032,851.7137461,3550.772429,2394.843801,152.7773714,1092.153607,3344.53595,7012.160701,999.3075507,1461.430387,4920.757631,1552.081192,1646.80318,814.9866983,577.4737218,2042.84868,209.434713,410.6429587,687.6146096,2903.850687,6318.203867,1626.972232,9713.13399,3170.003191,5697.348404,14367.60016,3972.854265,5519.481806,4230.387694,3087.14602,4023.448301,1713.516954,2576.214306,4766.764267,1879.226029,6808.451673,6253.218555,34.60173569,4959.884647,4699.723729,2556.034436,1370.719782,1466.607339,1420.938478,3399.433326,1542.24386,1966.877036,6488.317165,1290.708743,192.2530859,5582.983084,1301.680798,8000.868415,188.6509534,64.30291894,1507.450373,4179.612507,19.7645698,92.70739717,777.1173088,748.8557869,1565.134799,1221.549109,3104.772605,486.4429458,14.74388932,3374.883939,1354.677487,725.3348233,233.8097317,2104.021244,1078.442794,3859.166848,1217.02826,498.8989301,130.3225983,2012.996607,7.226445731,4943.66458,5147.749389,4675.993904,6788.158015,956.9901922,2337.123918,1384.074147,3379.178398,2395.764422
1.39_235.5107m/z,235.5107384,1.38585,100,2504.542133,1349.051379,948.1472818,5680.891842,1499.757391,1071.156775,2725.467326,3685.778411,4658.287425,2695.897139,1644.11514,1093.997845,0,3532.982895,8921.835489,5860.949925,71.21136775,2443.903711,7825.739783,2105.003316,457.8510775,2739.558172,1797.591037,2.717449621,1680.961018,0,1584.016268,546.8252439,2684.719946,636.1506366,33.66360402,0,12.14180146,4261.52961,1989.689435,0,1884.510841,2966.611876,1099.880731,696.6051902,1474.062036,49.12137146,3563.109671,0,11.21925153,765.2671091,0,4471.322703,527.6762323,72.06287501,3509.237375,4539.167244,12422.03584,5538.788994,117.4312926,1800.825499,564.9454057,1470.300242,792.7038322,3982.55056,1816.347629,2382.422109,0,489.6340298,8297.737352,4793.533904,410.4295792,5736.830318,2891.209616,3644.083769,2569.760206,2608.082046,2095.972414,1951.43827,1585.180996,4449.353079,0,0,2695.754262,1888.251794,73.5953741,3093.259701,698.2865073,4265.287562,1112.503654,205.6845923,2332.166124,5964.152722,0,2116.585344,3955.329519,106.1796123,17837.63436,6564.037002,6470.608478,3544.66904,10838.31671
1.16_191.2836m/z,191.2835838,1.158716667,100,4206.90327,3548.638336,3983.027934,4942.626941,4045.327044,1616.137093,3667.68469,2030.157248,4771.070832,1184.808407,6102.683243,7067.605699,162.5983675,4319.658395,7073.316901,5942.659393,254.2101998,3420.480055,8674.057288,4357.535738,719.1889098,3489.545225,5119.257376,55.67651043,2993.535369,180.3078901,1026.932957,2690.534785,2810.5081,3489.151797,339.1886136,182.1806258,249.7188263,3485.518892,2127.268638,268.0391359,2231.320352,3433.541474,1249.90007,1865.514456,1751.552258,1257.122045,4770.900646,0,213.3104807,431.9508034,0,6607.217798,1263.368156,382.5766561,4402.72365,6379.814263,4843.049281,5702.814147,606.9099474,5166.692388,916.5424526,891.3860144,1364.082355,4759.289835,1268.925211,4861.873293,168.5351715,4653.027157,8946.369609,7103.669062,306.6079365,5596.993861,6123.450946,4371.624927,3141.835539,3691.40268,2801.049425,3422.989232,3940.2732,6145.71648,24.24385271,104.7411986,2492.320103,2600.697841,122.4225372,4481.229834,972.9763771,3320.869227,2398.393217,1280.677012,586.2057459,7435.259838,41.90117316,4806.032254,4638.831543,95.02259049,6628.0755,4252.933305,5909.544019,4858.946425,4952.864587
4.21_393.2496m/z,393.2495996,4.209833333,100 - 23.3 - 9.1 - 1.18 - 0.157,4742.741057,1239.073616,2382.324213,1970.239089,6874.108573,3470.54369,3.4597639,29.98315316,3451.405597,10.47354907,1624.25048,2213.868941,46.42249767,1092.967209,0,1427.844594,22.69939269,5.484220459,4630.820017,2524.886891,222.5553694,4016.147779,1313.667655,11.95730699,3305.469731,197.6331638,593.5453052,8291.187799,3576.835841,1808.580233,30.2004986,0,11.6503141,24.38224432,15.28002731,13.14507663,16.9666166,0,239.4245978,368.8938628,1784.935628,593.8541618,1611.648881,46.51945155,45.39670274,67.83540554,6.510267555,17.93327482,1047.751763,56.30844718,4967.806358,19.08183626,4167.310653,2276.530562,141.0103143,3.686616601,293.8944306,182.8083335,215.2642909,4747.094989,1086.324919,4533.716177,177.5595845,24.65466851,5872.851752,13.80477976,273.1502371,364.9588773,3455.161794,5001.550611,7501.62449,6210.455969,3517.553731,5987.563596,7582.747262,3083.938602,4.721080854,128.3038219,1082.924371,3913.234195,140.4518358,21.89933087,1784.72047,66.8956375,13743.49001,63.00738391,0,1087.802127,0,2248.796552,2329.472575,0,1923.692671,2661.474848,2546.395727,903.0212283,1195.069315
1.39_235.5569m/z,235.5569142,1.38585,100,2239.496498,1431.158589,1019.998405,3951.947725,1469.667525,1138.343796,2719.281014,3710.252153,3969.935657,3094.82295,1595.183733,1148.57754,3.588821749,2947.85752,5488.905758,3793.911469,398.0774345,2892.712447,5238.349098,1929.133023,713.5266022,2191.126158,1720.318135,28.89289482,1611.667017,5.290046023,1513.577179,564.0971247,1913.740123,768.9335255,190.3421243,27.97779852,136.2114157,3524.876578,2171.04065,147.3937609,2162.508279,3663.598555,1629.730519,963.5221701,1672.79705,170.8580265,3349.367333,0,99.95930547,1480.854726,10.38444574,2703.423413,1025.416846,333.1965262,3244.596611,3701.855949,6756.891924,3854.592306,316.2624783,1967.357606,804.7556062,2121.887955,1440.171463,3237.346548,1999.413432,2289.467401,126.2939736,642.9054468,5856.094699,4011.271034,1035.860668,3785.98803,2452.033878,2466.762273,2265.619402,2176.473071,2018.636799,2077.959532,1997.774968,3401.225534,0,2.529446725,2346.150976,1829.571582,364.0567042,2915.674784,1076.153414,3554.695028,1209.17808,339.6237256,3163.485648,3618.484873,231.066892,2204.723217,4199.313031,693.4586577,9220.775262,5328.104548,4836.949475,3529.258511,6567.229164
4.21_379.2342m/z,379.234196,4.209833333,100 - 22.7 - 1.12,3075.736458,1065.536867,1398.645672,1295.761242,5604.574703,1831.885237,2003.553024,2490.74183,1543.992909,0,1926.607447,2236.233705,2.186736946,743.3245554,762.6676917,1304.012341,0,409.5570936,2741.778952,2185.56084,223.2132562,8626.869276,901.4467962,0,2375.651412,41.94293233,409.4951876,3939.889457,2485.829269,1433.472934,0,0,0,1425.526835,1370.832455,0,351.2765829,542.8591042,120.4001095,172.784028,969.7692853,243.6988816,708.680949,5.661561139,0,6.495199382,0,3886.196725,351.901769,0,2861.640639,2566.56923,2287.13239,1428.27674,28.52878068,3905.379475,87.31044723,13.65265675,22.27364482,2859.447284,1060.677958,3362.008971,137.5941235,2969.3118,3534.989426,3629.119472,78.14951986,307.3311043,2436.604501,5179.148083,6669.512926,3471.694379,2059.306353,3862.148676,4496.813518,4223.632073,0,18.34721826,651.2702705,2535.549933,177.6918693,2751.625078,1720.156157,6392.352184,8235.316312,40.65220362,0,1202.603715,0,1630.138721,1300.707174,0,1058.833094,1200.409191,1418.75473,348.9235376,615.1846068
3.95_321.2174m/z,321.2174077,3.95415,100 - 21.7 - 2.26,3371.729087,1587.962822,2544.630374,2675.067625,3194.343672,2882.043565,219.9296934,152.5060756,4112.026132,60.4211378,1213.585976,1540.654359,14.43942339,675.6279368,5.80080374,874.7470452,31.71083373,75.24988672,3746.780457,3939.618964,216.3808033,4050.905619,2475.545056,0,4039.060664,230.967512,582.4879341,6650.955668,6559.981536,621.88821,53.22716607,16.40794739,0,143.7113852,72.67569635,0,15.0598091,62.35129449,63.92013384,461.5718755,693.7736543,858.7889231,1768.487915,39.05701945,4.944734542,0,0,292.102215,984.9896669,14.93190913,2216.840323,158.7372932,2243.552332,2581.470301,84.21737558,2133.029658,125.6194986,50.55255942,22.27768909,2692.066528,331.5060822,3182.458717,90.37006272,276.1777815,6637.276287,386.6942005,128.2418079,878.4716426,4526.93455,4356.564385,6744.675096,3716.9959,3563.758685,3111.970321,2173.67247,3544.704992,0,107.9972615,1886.816272,4495.786249,73.19474062,142.1043864,1202.742092,244.942636,4495.732698,102.869505,0,1609.783852,4.436827905,2730.920415,3979.113065,0,3158.125729,2678.232324,2776.958377,2251.546696,2345.315577
1.16_210.3627n,191.3448518,1.158716667,100,2495.621391,2112.426107,2351.641485,2886.530036,2450.35258,991.8369334,2151.678008,1269.59988,2932.783589,791.2948496,3795.45417,4447.655543,195.0093411,2629.26825,4232.347403,3563.05768,192.8890936,2224.682306,5234.378249,2649.036109,462.1254313,2080.867017,3176.817092,86.34030976,1761.440869,303.0783114,642.374233,1551.811757,1620.330576,2145.445385,265.9196802,147.610258,190.2346805,2075.484089,1389.264433,220.5996271,1432.775253,2217.1281,825.3430712,1202.105508,1151.971043,861.9921962,2882.012366,261.7485361,256.5444707,305.276208,0,3908.333638,902.2600204,274.4018859,2593.384616,3739.622521,3020.626798,3378.840707,427.6212607,3026.49947,617.8011736,616.5236777,922.216442,2791.537287,855.0641029,2804.478986,536.6198667,2748.651939,5390.946233,4199.349296,205.9703062,3292.521712,3681.483431,2625.614454,1841.980789,2219.270552,1693.863093,2061.43776,2315.818424,3509.381003,442.9263451,81.81595593,1515.848305,1547.745316,192.3768333,2613.010384,670.9675349,1985.193417,1398.799838,823.299042,329.9855327,4422.096701,66.2792039,2866.217242,2953.832612,71.64592779,4139.029912,2575.50601,3669.593679,2925.745302,3137.770994
6.03_487.2040m/z,487.2040094,6.0314,100 - 22.9 - 1.13,1658.586124,891.8655941,476.013334,627.6988762,1571.9175,595.5407695,0,63.13594291,3127.232519,3742.594521,1104.176766,415.2875903,1166.026774,820.7719495,10.79519373,934.9932097,2279.777464,94.20631382,2602.230284,857.6753614,879.9573189,638.3075466,1207.174665,3.458901769,921.3926336,849.6096201,271.1718548,1077.935756,571.0811356,345.8236888,870.6150272,395.07648,6.814675652,4.759903616,0,0,0,54.00636407,741.8641178,582.773889,1301.040578,530.8050521,2184.926091,735.8538995,283.6137331,798.392155,632.4843294,0,1085.516425,2879.291307,1220.514111,0,1434.380009,583.3136501,32.84577193,1153.091251,657.1429791,421.6803731,555.7988482,158.4511834,1309.215552,1019.088098,1011.600722,0,879.2984436,0,2069.333949,215.8198881,571.6035305,630.4000654,744.8743047,743.7455231,323.7853102,662.591779,511.9873687,967.524248,1022.461247,294.7084581,249.1523963,413.0657064,1095.338877,0,1136.756735,3.752475515,2015.073143,1125.433066,82.72950947,1002.483279,2730.514621,1611.02919,2339.977473,3283.908337,2729.403441,3773.084912,1040.939144,3238.29458,2020.855249
