sample_id,completeness
P18,61.417929617261755
M67,65.5449952906927
P206,66.47829437451837
P210,67.97671033478893
M69,68.25070639609555
P202,68.61032622656049
P13,68.71307474955047
M66,68.87575991095129
P19,68.88432228786712
P203,69.07269458001541
M70,69.69774809487113
P14,69.78337186402945
P15,69.80049661786111
M68,69.98030653309358
P12,70.69098381710764
P204,70.78516996318179
P209,71.01635413990924
P16,71.93252846990325
P208,72.66033050774895
P201,72.76307903073894
P205,72.87438993064474
P17,73.5593800839113
P207,74.01318606045038
P20,74.04743556811371
P11,77.20695265005565
