sample_id,completeness
A338,53.61233100835271
A328,62.05114957375355
A326,64.04891070352191
A339,64.06613278222682
M63,66.07250495134764
M62,66.36528028933093
A315,67.11444071299407
M65,67.26943942133815
A28,67.27805046069061
A26,68.05304400241108
A323,68.64720571773013
A340,68.85387066218892
A29,70.10247136829415
A21,70.11969344699905
A331,70.46413502109705
A325,70.7655213984328
A22,70.808576595195035
A23,71.45440454662878
M61,72.45328511151295
A24,72.66856109532421
A30,72.79772668561095
M64,72.9613364333075
A25,73.19383449582365
A27,74.15827090329803
A309,74.20993713941273
