variable_id,mz,rt,isotope.dist,M62,M61,M63,M64,M65,A306,A309,A325,A328,A331,A339,A323,A326,A340,A315,A21,A22,A23,A25,A26,A24
1.03_872.4215n,853.514747,1.029933333,92.8 - 100 - 0.227 - 0.0489,0,57222.55857,31987.32571,95328.67723,54893.55902,8516.772212,13282.43517,11243.80639,9941.726642,10592.44654,16446.2248,0,6134.442768,41444.79959,74995.89052,60820.52964,38870.13812,18249.59099,38652.90268,23948.89367,81886.27322
1.16_427.6787m/z,427.6786902,1.158716667,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.91_593.3782m/z,593.3782104,1.9052,100 - 85.9 - 96.2 - 66.1 - 9.37,9548.751572,5.806731926,5.939524114,451.0419448,0.212885098,177.8218444,325.8032455,126.3708691,172.144562,114.9861258,163.0133886,2328.789439,6.698547894,0.521887472,0,64.5728865,8.76769579,122.2031689,176.0967634,265.6435352,0.874599026
1.29_277.4597m/z,277.4596993,1.2937,100 - 16.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.93_233.2722m/z,233.2721935,1.933766667,100 - 36.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.16_401.5874m/z,401.587362,1.158716667,100 - 21.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.16_401.4986m/z,401.4985574,1.158716667,100 - 14.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.13_981.5797m/z,981.5797429,1.13015,100 - 63.9 - 44.2 - 25.1,0,3527.931836,3795.428374,3561.199921,6817.266755,1906.720788,2602.932837,2259.889031,2738.289542,2900.845336,5324.641722,0,4108.575975,4528.264206,4861.452037,4040.851012,4165.547316,2601.138983,5344.562269,3783.182654,4844.538417
0.96_763.1995m/z,763.1995388,0.959216667,100 - 24.2,0.273549393,0,0,0,0,0,0.004704907,0.434730466,0.519770161,0,0.917093433,0.139162379,0.118085827,0,0,0.226166875,1.121307599,0.165308416,0,0.249979609,0
1.81_782.4203m/z,782.42033,1.8058,100 - 78.7,167.0496183,0,0,5.448616656,0.881105243,0,0,0,0,0,0,20.42673592,0,0,0,0.32781701,1.000554796,0,4.644264624,0,4.085504566
1.23_265.3849m/z,265.3849017,1.229433333,100 - 20.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.98_318.1474m/z,318.1473864,0.98065,100 - 67.4 - 30.5,0.000673255,1482.401729,1410.262558,10390.62797,30123.53809,507.8297327,634.8047455,343.2924071,340.4598456,418.1434953,646.4127423,0,346.5419737,4368.994381,25575.70568,590.2320559,687.9378188,375.3645367,668.4739364,944.753429,27559.5976
1.78_987.5371m/z,987.5371307,1.777233333,100 - 38.7,1266.257648,376.4948835,398.49729,118.5604267,375.1310142,469.1471033,484.5576012,554.4582733,437.3724275,578.3987301,415.4822356,497.0240233,593.9903956,445.0285558,314.0394759,362.4445363,261.8009025,511.1332154,477.966056,391.9190014,269.8576378
1.09_311.2947m/z,311.2946885,1.087066667,100 - 29.7,0,6558.94175,3999.723891,5708.187825,11388.25016,3083.442424,2659.848659,4461.874382,6405.20814,3814.786719,7291.390671,0,5754.100364,8240.029228,5946.714859,4777.45468,5221.223817,3926.603545,6588.442356,6057.077323,9948.734027
1.34_261.5905m/z,261.5904769,1.3437,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.81_223.1655m/z,223.1654886,1.81295,100 - 40.7,6798.886162,0,2.63488412,1.095245633,0,4.964519037,0,0,0,5.988511145,0,36.66728342,0,0,0,0,10.26843655,5.178327775,0,7.66785252,0
