sample_id,injection.order,batch,class
M66,144,4,Sample
M67,149,4,Sample
M68,150,4,Sample
M69,138,4,Sample
M70,77,4,Sample
P11,59,4,Sample
P12,51,4,Sample
P13,58,4,Sample
P14,157,4,Sample
P15,160,4,Sample
P16,48,4,Sample
P18,161,4,Sample
P19,60,4,Sample
P20,62,4,Sample
P201,41,4,Sample
P202,85,4,Sample
P203,27,4,Sample
P204,64,4,Sample
P205,63,4,Sample
P206,111,4,Sample
P207,121,4,Sample
P208,53,4,Sample
P209,65,4,Sample
P210,34,4,Sample
