variable_id,mz,rt,isotope.dist,P201,P203,P204,P205,P208,P209,P210,P202,P206,P207,P11,P12,P13,P16,P19,P20,P14,P15,P18,M70,M66,M67,M68,M69
1.07_863.5455m/z,863.5455227,1.06565,100 - 3.21,1875.172176,1853.071535,2042.242729,2422.909909,2582.422614,1809.239552,1955.731019,3105.94096,3872.794968,2797.745485,2839.782302,3106.558602,4273.479748,3112.726866,2662.95697,3091.748096,4.285335349,5013.56595,4902.807745,2224.364913,4166.145988,3106.10027,4203.109458,5888.12688
1.04_294.2175n,293.1757333,1.044216667,100 - 24.6 - 25.4 - 6.1,3245.133764,4372.607423,4831.248279,3397.741715,4083.600926,4070.417597,3300.186841,4526.530598,5226.860022,5733.806824,5141.276854,6338.693954,6786.414087,4808.787517,4050.904503,5784.445428,254.9300445,20697.40471,20179.6181,4361.589479,11867.3839,8830.527309,17591.0201,17277.12886
1.05_845.5161m/z,845.5160752,1.051366667,100 - 35.4 - 40.3 - 24,1717.954635,1325.245344,1850.932289,2136.590681,2964.32011,1373.758594,1989.176806,3695.206956,4238.624649,2510.014684,3257.931492,5309.289835,7194.392882,3748.833892,2767.604073,2908.382038,0,7676.394884,6288.96197,1717.195653,5199.666384,3269.108384,4589.642058,10869.15685
6.84_342.1091m/z,342.1090993,6.835,100 - 11.6,0.883228357,0.109224948,0.024209032,0.298929366,1.134648997,0.084563597,2.873429792,1281.300666,432.9241542,407.515498,1.067973032,18.64187441,5.239646653,0.238170813,0.052513225,2.02E-05,119.2512917,569.2329161,353.6475452,0.822852233,1330.207867,6.114610776,2.105460412,15.3093525
1.01_443.2497m/z,443.2497212,1.009216667,100 - 41.5 - 42.9 - 9.69,27576.76575,34081.30849,36190.16002,33788.80183,30891.9258,23279.51072,26762.8865,39498.76845,37095.10943,45731.56734,47917.59474,40287.2639,35262.83412,38681.24731,39161.72762,14749.46278,37592.60321,60152.95647,64490.97354,38598.18712,41941.04711,63982.14172,33727.12892,49434.59156
1.00_641.4228m/z,641.4227944,1.002066667,100 - 62.8 - 85.2 - 57.8,4419.40439,5002.810027,5761.875453,6401.883928,5831.947894,5785.644313,4905.734154,8452.223886,10170.28743,8436.63815,8149.085169,9868.824796,8745.688196,7949.238019,7452.071813,7679.036137,0,10747.72251,11224.99447,7287.824067,10782.47617,9959.402096,10387.20456,12166.53649
1.85_159.0783m/z,159.0782685,1.84865,100 - 74.2,0.055528936,0,0.026400431,0.554079249,0.146026844,0.270608381,0.045317608,0,0,0,0.260060134,0.015964444,0.475877533,0.003013622,0.490947613,0,26.38622752,0,0,0.446375609,0,0,0,0
1.00_750.4025m/z,750.4025428,1.002066667,100 - 0.64,970.7092119,3782.662606,1072.803728,3352.701507,1212.124499,1501.604819,974.9914314,1270.839429,1734.588047,1690.806937,989.1239891,1969.096423,1011.169832,2893.517812,1496.987036,6112.31552,0,1499.577225,3194.461484,1467.604906,2153.042711,1916.163227,2464.021827,1836.766466
0.99_138.0814n,159.0560305,0.994933333,100 - 18.3 - 10.1,397.5850629,360.7972834,467.9754534,367.5807192,387.6482351,355.2779927,349.0741024,465.4133948,414.0207891,522.9500493,407.3472918,389.0018523,365.6624104,415.9424378,399.7003253,285.9175974,36.36837939,706.6813897,1310.264436,455.298099,649.5589482,786.7913163,723.3070318,560.2329247
0.98_737.4554m/z,737.455422,0.98065,100 - 48.9,2873.263119,4152.86747,2663.320149,4149.072708,4594.344359,3448.246638,3227.541237,3713.905057,4357.531671,2934.296525,3432.907101,5917.69835,5073.084287,5169.179068,3353.707922,9450.375473,0,5325.149857,5912.605204,2260.469089,5501.794204,4162.366017,5385.047458,5945.447342
