sample_id,group,location
A21,Acropora,Falalop
A22,Acropora,Falalop
A23,Acropora,Falalop
A24,Acropora,Falalop
A25,Acropora,Falalop
A26,Acropora,Falalop
A306,Acropora,MogMog
A309,Acropora,MogMog
A315,Acropora,MogMog
A323,Acropora,MogMog
A325,Acropora,MogMog
A326,Acropora,MogMog
A328,Acropora,MogMog
A331,Acropora,MogMog
A339,Acropora,MogMog
A340,Acropora,MogMog
M61,Acropora,Bulbul
M62,Acropora,Bulbul
M63,Acropora,Bulbul
M64,Acropora,Bulbul
M65,Acropora,Bulbul
