variable_id,mz,rt,isotope.dist,M62,M61,M63,M64,M65,A306,A309,A325,A328,A331,A339,A323,A326,A340,A315,A21,A22,A23,A25,A26,A24
0.62_715.4002m/z,715.4001888,0.6179,100 - 71,0,0,0,0,0,2779.842987,0,0,115.3257774,3357.047194,0,0,0,0,0,0,396.4199719,0,187.3416726,206.869277,0
5.08_957.7135m/z,957.7135013,5.077933333,100 - 0.349,202.6944359,129.1307571,142.4549762,151.9594935,106.2769902,191.4955524,119.9076474,146.3646041,250.2823681,147.9151096,80.21044923,126.4286168,158.4692647,79.30878703,56.60628884,126.909372,178.8420907,112.1474733,151.8324805,195.0378836,146.258815
5.06_932.6637m/z,932.6636801,5.06365,100 - 0.114,695.7633909,712.328375,622.8654128,587.905768,650.3524641,1205.736561,702.497453,670.3128423,826.9625046,643.7766842,501.3806344,799.8437989,748.313851,635.7572189,671.884081,614.3469439,1185.550358,665.2466393,916.4208591,1002.513598,726.7782065
1.78_342.2863m/z,342.2863076,1.7774,100 - 10.3,64.21787071,47.11378862,30.25956484,52.98108124,128.9214072,0.546571237,18.94125322,7.068437031,0,6.209623036,146.7379612,2.048478087,50.55474423,44.30699959,58.97198566,243.0797935,34.67644749,27.44392202,0,60.31096203,72.14556473
1.74_557.8313m/z,557.8312874,1.7417,100 - 43.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.455423658,0,0,0,0,0,0
5.07_978.6848m/z,978.6848466,5.0708,100 - 0.118,341.1394775,330.1836884,240.9834279,315.8208405,234.3638361,672.8570629,343.7675512,441.2386746,559.6386359,410.3103482,305.514513,342.7599265,408.2257772,268.3621493,289.6048442,338.3195491,638.1366687,405.0658601,511.0563935,612.2375041,300.1673759
6.41_341.0515m/z,341.0515466,6.40825,100 - 5.89,73.23560381,13.64634295,26.81459649,35.11204823,0,2.143737466,0.633771271,74.22769221,44.98980276,0.010209132,65.64532247,0.670012089,80.84147635,58.48026103,9.800114697,3.380935359,31.29646258,172.1594678,37.05699862,223.059032,7.655345136
1.77_619.2246m/z,619.2245938,1.770266667,100 - 31.5,312.7372299,147.4974868,162.4967163,396.7444769,442.8801448,8.367951283,400.9813915,55.5085382,2.087882053,17.45242248,178.808963,385.7902759,96.13744147,177.7079411,96.16165155,147.4913081,0.625366231,45.12511452,0,1.309227748,139.4985208
21.43_426.0320n,427.039267,21.42568333,100 - 54.8 - 46.4 - 13.1 - 3.89 - 0.00355,26282.87831,24936.56184,24239.97356,24836.91542,25928.57462,30242.38512,19626.38681,21045.96368,0,21853.29157,9493.482689,32083.60231,21780.36528,26288.79265,18021.66165,0,16811.65907,21481.04583,4938.694055,9882.953777,22150.06316
5.38_568.9811m/z,568.9811188,5.376466667,100 - 14.4 - 5.11,11817.77325,10239.77209,11879.42338,11359.74015,12584.62045,18164.60076,10395.66093,11140.3605,13318.17035,10629.62879,8684.793249,14543.20902,10642.83721,10883.11536,8033.17601,8554.355923,18363.18561,10343.98592,14319.76261,15901.67791,10847.76433
1.07_440.3437m/z,440.3436919,1.065833333,100 - 62.4 - 37.7,96341.74804,85132.53329,91172.43873,86450.4784,145512.8314,7818.44733,67994.35667,39738.71071,8329.278143,10593.74944,52903.01866,66237.9307,63205.02314,83166.06659,87926.59027,85768.42839,2191.817426,72659.312,4115.857514,13434.69318,154531.2839
5.07_222.9002m/z,222.9001694,5.0708,100 - 0.703 - 0.436,837.9720899,863.0255413,734.4679446,688.5996997,646.049985,1893.281057,949.216441,1330.9868,1431.108367,1243.872098,820.4430132,903.5320256,1081.553298,674.1364288,634.6123364,928.7589846,1832.75354,1101.594326,1409.75263,1658.920915,708.1702365
5.45_601.9853m/z,601.9853476,5.447883333,100 - 25.6 - 17.8,1000.238902,940.8153006,1214.503314,996.3832102,1139.942221,2620.15723,1469.686899,1516.271684,1643.864496,1625.918943,1023.830546,1374.187685,1058.659555,1227.539326,592.5739325,1210.632109,2649.177477,1503.079751,1927.999575,2215.788645,791.1812469
5.06_176.8759m/z,176.875933,5.056516667,100 - 2.29,13142.09879,12257.70745,13395.5287,11136.50761,13960.88767,21325.25462,12728.28445,10890.97451,14973.15727,11783.39853,9797.02826,16185.58747,14724.69671,13300.37785,10974.08662,9898.488613,19128.61928,11685.36172,15774.74798,16971.12119,12018.31938
4.27_945.5133m/z,945.513271,4.27445,100 - 50.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.09_379.3925m/z,379.3925024,1.087266667,100 - 46.8,32.54388677,8.924445933,67.51447572,37.0337547,0,0,0.544919622,0.727088946,0,1.75036327,0.081993716,0,11.2612241,1.849250832,0.321029325,13.51449921,0,8.52130822,75.32817931,0.929227214,14.86207053
1.14_429.3698m/z,429.3698461,1.13725,100 - 38.8,26660.84088,17237.03902,9667.509461,25037.04323,5688.759777,143.3142884,5521.933889,7889.503332,4.371520451,1111.379911,5015.336714,16082.79148,24718.13221,9508.983106,36503.59936,11736.66069,106.2936568,14915.62542,57.70278097,18358.50029,22089.13226
3.41_242.1851m/z,242.1851469,3.4136,100 - 8.69,18.47097184,35.01552201,8.109309336,23.31222488,6.025659678,0.312039442,323.2179501,0.3357353,12670.97208,1096.906254,44.25695646,0.745620039,12.78382707,1.824376349,3.625424612,1.911433024,0.269824505,0.000365378,1.339697127,0.276533027,37.33624938
1.32_442.7752m/z,442.7751926,1.315266667,100 - 95.7 - 27.2,16.76429247,3.489199084,6.175526759,23.35405629,0,0,10.19115722,0,0,0,0,28.6654248,0,0,0,65.40229401,104.2992629,2.07135916,0,151.7745299,55.48230464
0.45_265.2547m/z,265.2547206,0.454083333,100 - 10.3 - 9.7 - 2,0,0,0,0,0,0,0,0,1602.247532,0,0,0,0,0,0,0,1346.201354,0,576.233169,480.6435875,0
1.01_434.7021m/z,434.7021453,1.0094,100,121.2969762,0,0,174.8885241,0,0,0,0,0,0,0,0,134.0402609,0,0,466.6561063,0,0,0,0,362.8397088
5.38_713.0077m/z,713.0076805,5.376466667,100 - 36.4 - 15.4 - 2.62 - 3.29,5459.744823,4807.104777,6530.420248,5041.481437,5456.137679,17432.11813,7698.88552,9511.689767,9745.320654,8765.704116,5711.403319,8406.427429,7597.223611,5806.107645,3128.105843,6244.334159,14136.34513,7263.76465,9549.185547,11558.79858,4371.376533
5.07_306.8618m/z,306.8617744,5.0708,100,289.1878664,297.5243931,263.0933637,217.0831151,224.7113244,668.6817841,317.7777519,452.4442092,412.183484,391.3706165,276.0812991,321.9498602,341.1734679,249.0436065,196.3707892,303.2370538,659.5394493,403.3302716,462.85298,560.2657175,221.6483247
7.25_131.0345m/z,131.0345023,7.25475,100 - 3.47 - 0.0361,364.7954263,363.7695113,248.6750049,383.1349252,131.6768025,698.8825413,291.9155478,520.6816482,691.4103454,0.052937182,526.4138699,572.7942523,891.3858589,461.0249911,107.0427612,264.7755904,120.5133255,773.5146527,707.853585,511.0706584,89.32365654
10.30_498.1325m/z,498.1324992,10.29993333,100 - 26.8,0,0,0,0,0,8.17690846,0,52.44198615,0,0,0,188.5610048,50.68114134,0,0,0,0,0,0,0,0
1.20_603.1638m/z,603.163792,1.201,100 - 59.9 - 55.6 - 19.6 - 62.5 - 14.9,481.9228796,9.779521414,80.58802692,290.1798781,633.8442215,2.910982798,15.54040217,115.0814971,9.490348921,132.345349,0.178921429,672.2226836,0,7.397220053,652.2087898,0.597959326,1.463221033,53.26123664,119.0882633,183.6390729,9.315764007
5.07_906.7385m/z,906.7385393,5.0708,100 - 0.339,1543.195721,1672.874097,961.549751,1285.89538,978.3322211,3011.325359,1418.78371,2211.207392,3061.337831,1906.36637,1316.903664,1377.73177,2037.109934,974.8726795,1750.850445,1653.913233,2968.901771,1550.482806,2504.207964,2919.539629,1447.345812
5.03_548.2040m/z,548.2039821,5.02865,100 - 15.5,97.45720346,0,0,323.4726471,0,0,0,0,0,0,0,0,0,25.78000849,81.09908466,32.42480312,0,0,0,0,17.58677747
0.97_513.3020m/z,513.3020496,0.966416667,100 - 1.51,434.5597848,611.9974638,292.3425627,2437.651888,3919.559954,2.333684832,0,180.8087503,12.95484887,26.99487773,194.4725623,1109.352986,11.40160348,1048.34962,2301.219914,5.170957629,6.684241816,17.91019468,20.25939976,0,3614.493763
5.07_727.7343n,766.732751,5.0708,100 - 20.1 - 5.92 - 1.07 - 1.04,6064.15242,5932.805374,4281.981608,8133.92682,7264.855648,9473.523927,5118.651794,5561.414348,7403.567875,6155.746744,4134.027719,6439.920026,6177.624755,5674.039369,8827.828624,4733.604516,8937.424334,4984.164167,6966.742074,8098.103143,8682.620363
8.49_302.1435n,303.1507278,8.485716667,100 - 36.4 - 16.2 - 1.95,4773.363642,6274.565582,5306.684704,4698.165473,3822.573821,9368.970933,3440.297627,7233.622912,3615.651666,8805.403312,2337.878777,6473.577081,6880.032847,6066.147364,1943.218061,4014.691738,8872.456983,5949.82427,4980.506185,5382.278724,4875.808958
1.76_573.3735m/z,573.373515,1.755983333,100 - 2.14,1378.57314,590.8842193,291.4751702,869.2659661,727.8880576,0,660.5092392,11.81729663,0,0,1039.229193,395.669381,1742.575421,542.9827983,969.0825251,489.6638141,0,9.687823026,0,0,630.9718546
0.44_369.2895m/z,369.2894617,0.4398,100 - 70,0,0,0,0,0,66.90343152,0,0,6139.414992,0,0,0,9.244960186,0,0,0,2724.05243,0,1699.758816,1612.129599,0
10.86_685.1538m/z,685.1537603,10.8622,100 - 27.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.40_663.3017m/z,663.30172,4.4023,100 - 28.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5.32_480.9295m/z,480.9295494,5.32005,100 - 5.45,209.1655252,173.6061232,193.3138237,235.5669672,296.2298919,255.1641617,245.5906932,118.2507244,178.7341654,199.7079391,151.5354962,296.5028673,198.7247075,249.1868564,210.5807024,163.6300793,199.2703474,83.90881202,223.8895976,194.5395601,237.7314247
5.07_796.7464m/z,796.7463752,5.0708,100 - 22,1028.719988,1074.354565,706.2817638,1385.324972,1071.800985,2149.553245,1055.913088,1498.225593,1670.542805,1443.560932,843.5859712,1033.719386,1211.371005,839.2304268,1607.599964,1048.666377,2002.346597,1263.301461,1557.132316,1861.083701,1482.475459
5.30_155.1479m/z,155.1478906,5.298616667,100,35.73459712,875.1706265,546.7392843,4.745151529,0,15.90306202,2.105294269,4.820963426,0,2.309330037,0,62.33922726,85.84335577,447.162621,27.73427621,0,3.472042599,0,0,0,8.113647971
5.06_449.8207n,922.7495064,5.06365,100 - 28.6 - 12.5 - 7.02,1790.04296,1858.522668,1196.995396,1811.49514,1135.709956,3430.375069,1683.686729,2362.368162,3499.97102,2450.312321,1404.648862,1712.897211,2258.432133,1218.253633,1869.239033,1886.517131,3105.699535,1624.529193,2801.03963,3353.346072,1705.387055
9.65_356.1553m/z,356.1553125,9.64535,100 - 30.1 - 6.73,0,11.01156503,2.069023411,2.397920717,0,22.79493859,4.941067461,20.17546059,18.49787894,37.23117483,4.525998728,0.486710142,4.278718494,0.417867003,0.487335083,83.40444929,2.510830448,3.899703398,3.258113306,4.389296505,5.467710739
5.38_478.0045n,500.9937286,5.376466667,100 - 12.4 - 3.94 - 0.596 - 0.149 - 0.0426 - 0.0177,114044.7933,98456.04243,135635.5121,111912.3413,122913.9815,274039.883,137699.0743,137871.2164,184304.4959,143481.6467,111864.7618,158436.327,144772.0059,116699.5901,73168.20326,114197.5327,249659.5819,108696.9205,185225.2214,210335.6801,96619.44513
2.17_210.0837m/z,210.0836726,2.16895,100,0.457220366,2.579709265,0,0,0,4.233974838,0.303605389,28.97921635,0,0.003236267,804.4902647,1.384043583,109.4457669,6.838784375,4.540822915,2.564000684,0.008999608,0.970802986,0.305963219,0,3.532230404
1.14_769.3972m/z,769.3971989,1.1444,100 - 64.5 - 54.3 - 22.8 - 19.2 - 6.79,1876.034187,5210.269327,5939.467916,3862.167957,7426.121871,1221.206036,2727.548456,243.9919314,19.38019495,197.2651844,3914.454475,266.9671826,4372.041258,12339.02231,3858.123455,513.9637264,314.7924054,2105.148547,449.9576475,451.1430489,2636.726602
4.13_345.2981m/z,345.2981086,4.132333333,100 - 9.14,0.693671331,0,0,1.334169937,0,0,0.010222362,0,0,9.744469988,0,0,0.188474224,0,0,0,0.003017465,1.571551271,0.015063057,0.249330155,0.164509056
1.77_404.7914m/z,404.7914278,1.770266667,61.5 - 68.7 - 100 - 30.6,87.71173601,59.30083547,109.8523001,50.80071773,41.00386928,0,84.64351376,0,0,0,121.0211916,119.9319916,12.34119998,6.446661437,87.80466508,114.8692902,0,0,0,0,69.79520311
1.74_557.6509m/z,557.6508895,1.7417,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5.06_988.6464m/z,988.6463894,5.06365,100 - 0.199,193.2533269,154.9066391,170.3260316,157.8875337,201.987419,288.135363,222.7870449,208.5582044,253.301893,164.0186002,178.3353047,224.089845,167.8534744,197.0944766,129.2279742,141.0646153,240.1614498,185.8599191,297.6355492,299.2636327,145.154632
5.07_590.8581m/z,590.8581024,5.0708,100 - 0.119,251.2312244,650.8042896,253.9134768,1459.425475,285.5407739,355.3177434,385.8955962,177.9620347,388.2412066,928.3250604,151.4755804,386.0689123,332.7854663,303.8858395,238.0950519,181.1400549,368.4310742,181.4792223,359.4810708,544.5301399,522.7574044
5.33_621.4745m/z,621.4745273,5.327183333,100 - 18,48.21436187,44.67524897,34.97440866,20.93436363,33.66548224,43.4691449,44.20464473,31.51255472,47.34793727,42.78377633,38.14492164,41.74430652,40.47024909,50.92825586,36.35463438,34.87525866,75.27843061,39.35494554,46.24437961,51.22601609,39.26909464
1.15_513.1872m/z,513.1872118,1.151533333,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5.46_560.9882m/z,560.9881582,5.455033333,100 - 21 - 5.29 - 0.0434,1439.678018,1389.262708,1528.681766,2164.715424,1814.960474,2856.64304,1518.846633,1756.737466,1775.061155,1604.76589,1125.534728,1627.088982,1248.965062,1351.617638,848.1819459,1358.924416,2750.602659,1882.865615,2144.602262,2533.476672,1406.037744
5.49_162.2440m/z,162.2440246,5.490733333,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5.07_892.7243m/z,892.7242783,5.0708,100 - 0.104,939.5958054,976.2982351,683.5154167,817.7737508,721.0120765,1847.953538,892.5463641,1333.211936,1584.828369,1114.444389,816.7284022,965.8189341,1080.792508,674.3470371,1049.98481,1048.829984,1978.785645,1053.80919,1508.404111,1803.813806,962.2129014
5.77_433.5215m/z,433.5214714,5.768033333,91.1 - 100,2.941251353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.49347235,22.98604614,20.74212409,0,7.412412029,0
0.40_304.0114m/z,304.0114257,0.396766667,100 - 11.9,0,0,0,0,0,0,0,4.8785693,948.6878647,0,0,0,0.2313369,0,0,0,0,5.219603422,26.24747933,0,0
5.07_894.7222m/z,894.7222217,5.0708,100 - 0.0701,679.8696734,696.8551636,484.3883492,688.0367944,447.8655169,1338.247212,697.2553406,977.2719389,1181.079615,867.0822985,594.6404069,629.0257659,813.0339663,492.7592636,779.6032958,721.5443556,1289.981474,779.7639085,1099.121021,1260.68265,700.8756065
5.33_815.4923m/z,815.4923305,5.327183333,100 - 19.9,37.6003048,58.73247754,56.00194994,41.082558,41.12208248,121.3421496,83.38922007,50.10726312,98.83048017,75.32996855,63.54055249,88.49221993,79.5771413,65.87086466,61.71677755,74.78495638,134.8800238,61.25858919,100.0912068,129.5617894,35.65444813
5.38_638.0111m/z,638.0110967,5.383616667,100 - 29.7 - 30.3 - 0.9 - 0.814,3453.951274,2952.744861,3819.740041,2959.051733,3155.975756,12679.65123,4639.367288,7490.150403,6000.251213,6193.224936,3177.874583,5448.658653,4645.781125,3554.223998,1725.474294,3963.566999,8808.564815,5587.534366,5764.995957,7281.644503,2328.469048
5.07_725.7915n,726.7987881,5.0708,100 - 18.6,6113.143587,6374.467438,3631.090268,7736.975511,5792.843394,10091.90284,4905.004413,7013.096372,9453.870779,6662.147349,4515.189486,5779.808793,6919.905243,4743.306055,9212.648525,5534.290015,9912.406693,5081.178822,8240.144024,9522.122527,8481.496449
1.34_329.3755m/z,329.3754753,1.3367,100 - 1.4,1.098523803,0,0.031026591,0.000129563,0,0,0,0,0,2.92961707,0,0,0,0,0,0.235743989,0,0,0,0,6.668243301
2.67_607.3920m/z,607.3919828,2.674083333,100 - 41.9,286.4900889,402.6795177,441.540774,81.83395734,132.0455922,1006.427393,291.0472516,837.8335928,690.9917935,602.2688048,349.099386,260.8966348,312.206045,336.3272072,291.2026655,713.0058215,1202.393734,1525.970623,1106.474888,683.5117135,118.5844483
