sample_name,completeness
M36,19.71608832807571
M35,22.355415352260778
M34,22.41850683491062
M37,24.069400630914828
M47,26.319663512092532
M100,26.44584647739222
M38,30.157728706624603
M81,31.188222923238694
M106,31.871713985278653
M87,31.934805467928495
M109,32.50262881177708
M41,32.88117770767613
M52,32.90220820189275
M110,34.837013669821246
M76,35.310199789695055
M26.1,36.68769716088328
M84,37.013669821240796
M107,37.655099894847524
M49,37.69716088328076
M108,37.91798107255521
M101,38.08622502628812
M44,38.15983175604627
M48,39.37960042060988
M46,40.05257623554154
M96,40.15772870662461
M86,40.841219768664565
M97,41.198738170347006
M93,41.96635120925342
M42,42.35541535226078
M30.2,42.37644584647739
M95,42.51314405888538
M105,42.70241850683491
M33,42.986330178759204
M72,43.4384858044164
M98,44.96319663512093
M59,45.43638275499474
M83,46.4143007360673
M92,46.91903259726604
M94,47.360672975814936
M71,47.570977917981075
M2,47.59200841219769
M102,47.70767613038907
M18,48.04416403785489
M51,48.04416403785489
M45,48.359621451104104
M43,48.5068349106204
M31,48.66456361724501
M58,48.68559411146162
M104,48.78023133543638
M91,49.484752891692956
M32,50.147213459516294
M99,50.84121976866456
M82,50.925341745531014
M55,51.82965299684542
M88,52.26077812828601
M40,53.85909568874868
M89,54.1745531019979
M26.2,54.700315457413254
M27,54.87907465825447
M79,55.34174553101998
M56,56.077812828601466
M57,56.098843322818084
M25,56.7087276550999
M80,56.761303890641436
M78,57.47634069400631
M60,57.69716088328076
M54,57.791798107255524
M90,58.44374342797056
M74,59.00105152471083
M77,59.20084121976866
M73,59.337539432176655
M30.1,59.516298633017875
M13,60.18927444794953
M19,61.40904311251314
M20.1,61.650893796004205
M23,61.82965299684543
M50,62.618296529968454
M24.2,62.77602523659306
M22,62.86014721345951
M53,62.88117770767613
M24.1,63.165089379600424
M75,63.596214511041005
M15.1,63.85909568874869
M4,64.16403785488959
M20.2,64.38485804416403
M39,64.4900105152471
M7,64.55310199789696
M10,64.58464773922186
M85,64.90010515247108
M1,65.21556256572029
M12,65.72029442691904
M28,66.29863301787591
M6,66.54048370136698
M11,66.63512092534175
M15.2,66.88748685594112
M17,66.95057833859096
M8,67.21345951629864
M5,68.98002103049421
M9,69.58990536277602
M21,70.47318611987382
M3,71.81913774973711
M14,73.47003154574132
M16,73.96424815983175
