variable_id,mz,rt,isotope.dist,P201,P203,P204,P205,P208,P209,P210,P202,P206,P207,P11,P12,P13,P16,P19,P20,P14,P15,P18,M70,M66,M67,M68,M69
3.94_216.0532m/z,216.0531531,3.940216667,100 - 7.79,1876.281408,1389.17666,1010.372559,2564.79696,2994.496555,1866.795693,1505.289133,1336.879212,1496.917109,1467.355692,3175.650533,2233.821284,2811.182331,2637.258782,1564.591515,2456.146257,2158.017674,3106.611149,1770.936854,2458.977884,1393.383203,1878.683195,898.4488996,7952.055617
1.32_578.3656m/z,578.3656316,1.315266667,100 - 4.16,0,0,0,5.621704161,6.996948242,0,666.0246683,185.5454328,398.9128982,627.33344,0,123.904156,1055.233614,255.1971997,213.3849784,530.5467853,660.6110404,850.9694084,594.3952303,302.2021514,618.2645646,991.635006,332.0893999,455.6621619
1.29_533.5033m/z,533.5033021,1.29385,100 - 0.77,0,0,0,0,0,0,310.2176887,146.7163458,375.6413845,66.45860645,0,72.7299911,156.250856,563.4430422,556.9820707,275.6046978,18.45525877,641.2297822,470.5795542,251.1909455,433.0690233,385.980822,290.9485631,402.2478439
0.20_814.5481m/z,814.5480989,0.197516667,100 - 46 - 51.4 - 22.9,359251.9677,205293.5259,0,54484.59243,0,168260.518,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.51_585.3009m/z,585.3008831,0.511216667,100 - 27.3 - 35.7,1381.453899,174.7467706,812.443546,334.7909183,423.9301064,287.1707574,0,0,0,0,548.244397,0,0,0,0,0,0,0,0,0,0,0,0,0
1.19_489.1843m/z,489.1843006,1.187416667,100 - 2.4,2.264044805,0,2.656927746,0.082487918,9.031097631,0,11.08195573,19.48797453,0.109668646,13.32493589,3.910628225,332.8442808,0,0.99680795,14.75105376,21.51029098,395.9236156,439.61379,0,4.068591463,7.042093992,1.526456968,0.475231767,0
2.99_897.3320m/z,897.332006,2.987216667,100 - 30.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.23_957.5817m/z,957.5817359,0.233216667,100 - 87.6 - 62.1,8000.138719,11826.22363,0,6104.092572,0,11371.44508,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.32_746.4240m/z,746.4239836,0.318916667,100 - 62.9,1020.84694,218.7919952,2528.646859,2.389247689,2103.912846,82.21459601,0,0,0,0,172.5053892,0,0,0,0,0,0,0,0,0,0,0,0,0
0.32_353.6856m/z,353.6856459,0.318916667,100 - 12.2,156.7961779,441.3861399,52.95221375,38.07276432,33.98200566,127.7208338,0,0,0,0,0,0,0.339268107,0,0,0,1.316288252,0,0,0,0,0,0,0
1.76_947.5603n,948.5675762,1.755983333,100 - 55.8,0,0,0,0,0,0,7769.948786,6657.181639,4358.347269,4010.025264,0,0,6610.160896,4959.662471,4357.426499,6003.315569,3287.932357,5205.668049,4210.913716,3403.947382,4849.842079,2922.30186,3742.448202,4245.520021
4.05_185.6558m/z,185.6557715,4.046633333,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.76_572.3757m/z,572.3756566,1.755983333,100 - 0.312,0,0,0,0,0,0,1046.157997,641.3151762,864.2349634,3084.628528,0,4.708334034,640.8260221,849.4875498,738.334639,1757.862213,942.0273742,910.3197635,1080.819397,690.2963503,897.1603618,464.4022824,841.9590564,793.7585316
1.17_565.2718m/z,565.2717765,1.165983333,100 - 5.9,0.119044124,0,0,0,3.172912598,0,271.1578528,297.3523304,594.6162614,415.4569389,0,846.0175363,41.1377172,259.1171515,358.0685584,166.1523792,911.4446407,889.2347965,1005.273386,96.22287701,233.8729778,178.5618387,34.287034,124.9922975
0.30_564.3866m/z,564.3866331,0.297483333,100 - 91.3 - 69.7 - 90.9,10837.76749,4819.974008,4056.051377,735.9313367,0,1055.301291,0.063672898,0.038199481,0,0,0.156038832,0.013902743,1.985621225,1.630907004,0,0,0.18326223,0,0,0,0.164745074,0,0,0.088976542
5.48_171.0770m/z,171.0769917,5.47645,100 - 38.3,183.9473775,250.5871093,286.4015035,142.9468029,146.58316,188.6598249,258.2978508,36.89344538,23.96302855,58.30608291,323.4728007,621.6983601,135.8103943,184.7356398,119.2369243,174.4762549,23.86435746,33.17882965,36.9493632,31.31162931,32.72453294,50.05278537,38.75573763,64.09556746
6.76_204.1229m/z,204.1229168,6.763916667,100 - 6.52 - 13.9,1829.24008,472.537812,2136.679238,881.0198398,2429.561205,843.6660947,1665.263841,2133.18225,3099.642769,971.5309054,2690.404646,720.9128471,1206.607773,807.6912043,1155.441923,462.5576147,2235.622013,1527.794193,527.1727207,895.7006696,1414.502651,1181.263757,449.3759665,1366.682109
0.97_512.1909m/z,512.1908893,0.966416667,91.8 - 81.4 - 100,0.23688015,0.534013572,0.285852215,1.261035568,2.621455484,8.824626652,3.315780148,233.9668684,8.948945769,16.54126254,0.637605456,272.0191867,150.0422316,13.0230266,31.52600448,0.088515259,5.355830962,2.930751844,15.91624208,1.655386425,12.11266172,0,20.20364787,0.711265627
0.50_813.3893m/z,813.3892536,0.496933333,76.4 - 52 - 100,4.046888648,1.654461349,4.40823577,0,1.099923081,6.548229186,0,0,0,0,16.18957623,0,0,0,0,0,0,0,0,0,0,0,0,0
1.76_568.3411m/z,568.3411359,1.755983333,100 - 52.5 - 48.3 - 12.6,9.631099042,0.643752513,1.810196491,0,0,0.464731748,9993.166375,4701.277658,6938.647925,12852.71145,0,21.75256828,4404.516579,6950.683732,7397.68685,13797.4546,12217.83906,7531.062632,8293.582587,4670.161807,9789.561443,4337.554971,7978.183515,7825.752429
0.97_417.3295n,857.6191461,0.97355,100 - 96.4 - 62.8 - 15.1 - 14.6 - 11.4 - 11.9 - 12.3 - 12.8,11732.14199,12921.49486,10291.57147,17470.22687,9428.572858,7158.680597,48894.1695,34251.24289,34229.45501,35745.73726,16098.12569,69668.06354,51325.23116,84711.30452,72495.94443,48825.16355,42332.13844,42121.32238,39474.11841,36575.67082,30231.85814,34366.94772,31487.04366,35814.42167
5.09_162.4306m/z,162.4306319,5.092216667,100,1766.583188,0,0,0,0,0,155.6945821,0,0,0,805.9293671,0,1052.499049,0,0,0,0,0,0,0,0,0,0,0
0.31_448.4130m/z,448.4130057,0.311766667,100 - 52.4 - 22.8,7843.746886,7288.358987,8001.203198,2017.644176,14114.4763,4301.69415,0,0,0,0,8414.207701,4.089453361,2.257217407,0,0,0,0,0,0,0,0,0,0,0
0.95_988.6562m/z,988.6561529,0.952133333,100 - 61 - 29.6 - 17 - 14.9 - 15.6 - 13.9 - 13.9,967.1732595,532.571864,1398.712628,1495.118637,1315.597971,914.9677587,8443.02251,3053.57271,7618.438362,14461.11834,2724.256295,19932.99088,36390.92987,624593.328,15761.18878,7781.322084,34853.18335,24863.86917,7900.769343,3417.158248,21320.77419,42971.46278,11829.32057,38967.45988
3.65_371.2646m/z,371.2646438,3.648566667,100 - 13.5,0,0,0.921859741,0,0,0,0,0.960176064,0.230773823,2.050756535,0,0,0,0,0,0,0,0,2.809989857,4.461344818,0,3.353821926,0,45.88295457
0.85_373.3304m/z,373.3304341,0.845716667,100 - 8.06,10.99416263,2.447361286,12.14003638,36.76259411,2.117409718,7.075585239,0,0,0,0,25.37945224,0,0.1364391,0,0,0,0,0,0,0,0,0,0,0
0.20_609.5241m/z,609.5241233,0.20465,100 - 21.1,2027.982449,8701.538739,10.24426287,1955.965919,27.63476604,4418.367748,13.61691296,0,0,0,39.95132411,29.36343372,0.022894458,76.97154409,23.80303967,10.60864258,0,0,0,0,0,0,0,0
5.45_985.0253m/z,985.0253141,5.447883333,100 - 31.3,31.98770951,88.10998487,55.40325904,57.87472582,97.18441784,61.47247303,61.70947242,316.4176939,376.2595326,156.9775388,72.89486623,139.8222961,35.80435181,86.47953955,65.67208886,66.36583545,319.2243989,570.9725957,330.6777582,173.1280823,328.8988042,198.642211,312.577028,461.9405551
1.17_874.4311m/z,874.4310858,1.173133333,100 - 17.1,49.95186722,46.47998352,8.682101561,41.88194302,56.26034937,23.00888397,3900.353257,3047.264204,3362.539288,2490.224621,23.12589238,5720.377071,5806.013306,4531.227015,4660.791113,4637.346018,2895.741013,2878.379871,3487.386781,3999.004438,3800.179942,3290.884554,2175.766772,3102.486917
17.71_309.3254m/z,309.3254009,17.71215,100,71.49476272,4.553537917,509.6509854,544.7761414,102.1026016,471.572289,298.2140993,443.1569768,510.3983697,474.3367964,17.8614502,540.570315,43.14332333,471.4386448,468.4207814,428.3848055,450.4564775,426.4969267,665.7074159,483.2669729,412.4408667,407.6705281,398.8745515,441.7564487
7.37_701.1126m/z,701.1125671,7.369066667,100 - 25.4,1043.836401,0,766.8316576,71.44464076,2637.996178,19.93518901,1592.822117,517.9137887,112.0669958,9.341295176,55.42131183,0,0,6.699157715,0,0,0,220.080897,0,0,77.95771979,108.3172546,0,0
0.25_767.7232n,768.7304433,0.2475,100 - 1.03,9490.486556,11224.42159,0.001801021,3100.320961,0,6618.065677,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.04_417.6033m/z,417.603268,3.04365,100 - 17.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.14_532.3533m/z,532.3532808,1.13725,100 - 3.46,285.9829732,64.66552734,6.781825701,7.840893626,345.8096563,195.8090146,2009.580256,2350.031224,2286.170127,2934.431893,42.5766883,4585.510176,903.5861042,2301.077045,1470.562504,1829.693619,3398.506702,3594.121586,4043.576483,2063.204412,2175.776491,2159.847256,2195.850011,2408.26141
1.47_692.3905m/z,692.3905405,1.471683333,70.4 - 40.5 - 81.7 - 100,19.76161566,9.14991634,86.98405249,0,4.105909576,3.009429932,205.4958949,744.4651851,452.920481,19.97634822,0,7436.820046,530.3049015,273.4145162,149.1156372,979.5184657,276.4821759,315.1130134,263.0796688,29.89795086,201.4570179,203.5715189,365.1485309,131.1551423
0.35_486.2957m/z,486.2956822,0.347483333,100 - 1.25,2565.397072,1982.923877,6951.054973,1040.261091,8735.035474,1166.357406,0,0,0,0,6448.40346,0,0,0,0,0,0,0,0,0,0,0,0,0
1.13_903.5832m/z,903.5832485,1.130116667,100 - 19.1,928.1452714,484.1489875,33.81359863,119.0409243,538.4002694,833.745039,6625.037866,7274.956107,6867.459937,5164.668354,368.5339929,11297.89765,17376.56356,11528.52805,8594.756361,7993.955081,6990.641859,4708.408452,6809.911071,10379.77308,9847.183979,5226.666412,9357.852158,10623.277
0.43_767.2503m/z,767.2503296,0.425516667,100,0,0,153.2724266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.23_635.4643m/z,635.464331,0.226083333,100 - 1.37,1891.699104,9670.880009,0,672.7564531,0,8613.328294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.43_768.8697m/z,768.8697215,0.425516667,100 - 25.8,1827.580956,421.5991331,3639.724483,388.1281502,1087.326724,277.8224756,0,0,0,0,344.8082948,0,0,0,0,0,0,0,0,0,0,0,0,0
4.68_369.3004m/z,369.3004406,4.680133333,100 - 27.5,1.742393951,5.531958711,0.058665764,2.593154838,3.171579183,0,0,4.034243814,7.010215646,0,0,2.233745066,4.345362218,9.787620008,1.44087107,5.523221103,1.669936886,7.624851738,0,12.07365146,0,0,0,3.420097026
6.01_305.1385m/z,305.1385453,6.010133333,100 - 23.5,1743.896432,439.968438,484.9005593,764.4482531,1215.152861,2654.052859,1100.53107,612.3974948,218.9177156,316.4883481,751.940356,483.3481186,699.8610866,495.6611157,538.5220706,414.6287962,85.75962166,207.4207871,65.17974757,258.6943736,177.5368549,82.26653736,241.7031672,201.3477274
1.27_274.2099n,549.4880134,1.265283333,100 - 55.7 - 24.1 - 22.2 - 4.55,1259.188064,631.1202669,352.9667739,251.6024851,792.5892919,326.1539821,13081.06182,8291.210585,13284.31184,8294.284184,477.0551771,22519.75602,17755.33638,19685.27423,18862.26734,15336.20877,19398.68021,17710.02042,30778.77261,14957.1228,11444.66974,11133.633,14838.82632,15455.96957
1.14_490.3733m/z,490.3733179,1.1444,100 - 44.1 - 12,31687.29848,16718.33127,10320.46034,21252.66357,21568.76682,11728.0241,19296.27923,24723.07713,32525.3027,19574.81493,16250.17734,36698.22242,26130.43169,22308.20638,17721.561,17737.72089,23928.20124,37493.6737,30975.74532,14550.63852,28291.50548,25219.92332,19066.72483,42163.25867
0.26_268.9817m/z,268.9817225,0.261783333,100 - 18.2,47.31918335,680.9284321,155.2441377,0,344.2335162,864.9096802,0,1.819813402,0.829191378,2.530047813,0,0.030315503,0,0.004985749,0.000827899,0,0,1.073086269,1.460805019,1.122295406,0.73921337,0.766251139,0.252379904,3.227845479
3.02_184.0645m/z,184.0645008,3.022933333,100 - 13.9 - 4.59 - 0.0871,14496.83818,8845.137556,14677.30295,10401.65283,16561.28775,4168.189058,19078.98615,7598.879428,9400.832068,7183.335107,12490.83299,7170.635301,12483.75471,18493.3511,11946.31126,11052.17843,11431.03406,24986.51811,4119.475977,3613.5018,8687.528687,4409.132726,2400.82134,2687.15863
1.08_193.1861n,409.3175247,1.080116667,100 - 93.3 - 70.4 - 34.9 - 41.5,3164.396223,2437.277663,3336.329007,3128.459052,3047.697136,3257.181582,46214.77219,27405.57612,39175.24746,33695.56639,3728.376882,89080.83101,49043.91551,60933.93281,50162.64566,61373.20915,50033.48747,36705.10586,53757.96012,38906.89912,34507.43262,30951.98721,30525.71817,33454.62156
0.23_556.3594m/z,556.3594053,0.226083333,68.9 - 100 - 17.3 - 21.5,10765.4947,22657.50737,2.811195135,2140.900138,2.770318307,14007.14957,7.825229112,1.792346927,0,0.324597365,3.379373894,1.335090641,31.54268916,2.404999211,0,0,16.24108515,0.584136779,0.491114302,2.039199454,0.247967202,0.603636944,2.058027314,1.478806304
2.68_596.3853m/z,596.3853348,2.681216667,100 - 57.9,0,0,0,0,0,0,0,0,0.099103806,0,0,0,0,0,217.4702148,0,0,0,185.5965283,0,0,0,0,0
0.33_550.4995m/z,550.4994861,0.3332,100 - 0.991,3881.049681,2162.096978,6558.178351,617.1776242,7481.36515,921.4020077,3.013317595,1.91778334,0.536405961,1.02687076,2434.907896,11.07398605,0.887903403,22.41874656,0.186642716,3.738828699,3.95492927,0.169103369,0.338156509,1.292851275,0.675840458,0.339899046,1.04207662,0.149723677
3.49_286.3146m/z,286.314574,3.49215,100 - 26.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.50_873.4198m/z,873.4198305,0.496933333,100 - 54.4 - 50.3 - 25.6,116.8644138,50.07346635,273.0552746,6.939100141,29.04416655,52.26386402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
