variable_id,mz,rt,isotope.dist,M91,M92,M94,M95,M96,M97,M93,M99,M100,M98,M85,M86,M90,M82,M83,M84,M88,M81,M87,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M72,M74,M76,M71,M75,M77,M78,M79,M73,M80,M51,M55,M56,M52,M54,M57,M58,M59,M60,M53,M45,M46,M48,M41,M43,M47,M49,M50,M42,M44,M32,M33,M34,M36,M40,M31,M35,M39,M29,M22,M23,M26,M27,M28,M24,M30,M25,M21,M12,M13,M17,M14,M16,M18,M19,M20,M11,M15,M107,M101,M102,M104,M105,M110,M103,M106,M108,M109
6.95_203.0527m/z,203.0527465,6.949066667,100 - 8.06,3585.342721,3488.744273,28.51615017,5933.59246,25.39441514,20.86500632,3606.537455,6759.621405,3573.739978,2718.326758,2826.976116,2507.847791,2617.90669,2475.086047,5098.327088,3210.925627,4002.632723,3407.060161,1900.281112,3359.927769,3165.732739,3158.596212,3422.235322,5584.778115,31.46241859,3834.600378,4492.679929,50.60241927,41.4662617,2416.378689,2318.961789,4024.842142,5430.739167,2879.320556,3821.601218,5774.298362,4206.462048,4108.502998,3886.355584,4198.306812,2651.178341,4826.085436,2661.257501,3615.753771,4505.970562,5071.38331,5428.708755,2921.960017,4250.172065,4700.613654,4348.888477,5523.358529,6641.489896,4318.155342,4822.832199,3785.835425,4056.848176,5706.961612,11889.86515,3593.36467,3545.526716,4451.579459,2802.903349,4338.794115,2873.974243,2891.019555,2757.08352,5111.985882,11.46146565,12.27301609,13.57883273,20.55350936,6322.400434,2663.597817,5758.99229,3239.48885,6703.206445,6409.479925,4498.613801,12.98497914,5745.362858,6143.417534,3663.281658,4888.439601,4328.138228,8019.516475,3645.786995,4886.630699,5369.229039,2638.954444,3893.825673,3721.29978,4927.852859,3221.023761,3137.741486,3044.036368,5777.471295
4.99_359.2437m/z,359.2436839,4.9858,100 - 19.3 - 46.1 - 1.01,33.86668151,4.898823707,259.1922871,1.618759098,240.8825477,274.2549999,69.11087756,0,2.184567495,5.368477553,3.936840684,0,4.039667996,20.45111012,5.553321415,38.38121767,4.094005945,10.99003051,106.5063379,5.112241593,0.613717623,3.224398221,1.017499369,0,452.0959581,10.06665552,0,444.1896501,488.6681941,1.45540857,12.16600477,8.449385348,0,11.06927701,2.403266843,0,0,4.962231221,0,11.25459192,59.95689094,6.129306848,82.49277374,0,0,0,0,3.777417576,0,0,7.411821234,12.01079738,0,2.096811008,27.18987976,12.19529243,2.726866817,0,0,4.663078436,1.878396987,0,3.020579079,13.83074545,0,0,0,8.097958291,1078.949789,647.745846,1026.468851,1405.468222,2.131728566,38.43010507,6.060445936,11.27796429,0,6.199458965,1.303422566,743.9671372,3.203047187,4.818554271,7.963729074,50.14764484,57.4426916,0,0,4.78469249,0,31.48229884,0,9.055266967,4.193467545,39.95041597,4.606526208,18.92796521,0
10.39_556.2766m/z,556.2766425,10.39206667,100 - 33.5,0,0,0,0,0,0,0,23.75537504,73.11488321,24.70030874,0,0,0,0,0,0,0,47.07292998,32.19078341,0,0,0,0,0,0,0,0,0,0,0,0,0,11.64726496,0,0,0,0,58.76903893,53.06767188,0,0,0,9.375209746,0,0,0,0,0,59.5974305,0,0,10.46710891,17.98882167,0,0,0,5.593508382,48.83539314,113.4399252,0,0,29.5024367,0,0,53.07512743,41.1188232,41.25084521,0,0,0,0,0,0,0,8.650619103,44.04753781,38.03867631,0,0,0,0,11.21645554,28.92483193,0,12.51234354,70.67863305,18.69127621,0,71.59269767,60.53067846,36.46230054,103.760202,90.2478084,37.86238795,31.48617054,58.98628684,58.34780307
10.90_640.1831n,641.1904156,10.90433333,100 - 28.8 - 15.5 - 2.62 - 0.211,2.15231247,10.14501888,6115.81949,1.604315379,17854.06716,18108.72473,0.183375402,0,0,0,16888.39033,202.3559562,0,0.987461544,1.872761116,0.288728758,0.00240548,0.04551445,0,3.37245714,0.358399527,0.234995493,5.545837516,0,9878.068214,3.008261636,2469.904813,5634.417445,9473.218777,3.718247187,1.671777443,1.161470761,0.166134788,1.754810375,0.326485222,0,0.229133434,0,0.540089129,10.35580607,6.245876878,0.215035889,0,0.269591424,3.139268932,0.000214918,1.109194505,1.933409122,0,0.004878981,0.335246057,0.235614553,0.200504008,2.572710766,0.482228002,0.300348178,0.9015142,0.411880035,0,0.05949385,0.102242133,0.237119784,0.148734447,0.771382336,0.000506781,0.102943783,0.194208217,1.170188684,24607.00184,12704.36899,8873.508416,30195.1272,3.986723675,0.173163161,1.024954966,0,0,0,1.036642442,14184.67951,0.178598891,0.008141587,0.000487481,0.040556711,0.697367591,0,0,7.596896468,1.394182045,3.68563845,0,0,0,0.020323033,0.373784878,0,0
1.27_427.3884m/z,427.3883913,1.272416667,100 - 71.8,829.1660379,326.8255686,804.2965414,1100.398519,332.9854194,939.3570987,1109.097044,618.8355759,1163.710539,1976.525347,363.744768,282.4180323,536.6035056,344.7036251,1433.840242,1280.570513,1169.170022,711.7133365,745.5539199,586.5227205,542.09172,755.6499999,667.111795,989.5250689,1097.486314,708.65826,1196.266255,665.5962928,777.5815622,581.8731914,990.0012671,554.5007309,1644.303705,3342.37208,1032.76358,1549.26863,779.7147952,561.4783328,2155.285823,596.6210318,885.2780922,734.2568514,1551.769082,974.5442654,2696.293085,1977.013847,1859.903236,1277.282612,1016.458286,1370.31301,560.7534812,1157.297891,911.1607552,733.0805147,1722.853831,1234.953211,2707.06502,3247.516693,3454.769908,1212.792659,2988.337064,744.922595,1112.523131,2579.801728,1605.310855,1638.983369,2508.587429,1478.71017,1169.375851,1138.456039,995.5322444,1284.580286,6.067222545,614.8387864,2688.444745,2142.68298,2276.698839,729.7970085,586.0526473,649.5382942,335.9697558,1020.647707,2037.171397,417.286592,858.9518362,2556.511012,3403.38241,1231.075282,1822.216318,667.7914769,511.3382555,1409.740053,1515.319869,1553.933104,2156.218067,1505.693899,1208.21503
5.07_832.7228m/z,832.7228294,5.0708,100 - 31.6,148.481304,143.2285381,0,166.1417936,0,0,138.993444,104.7790455,158.514813,159.9085202,112.586799,129.501278,120.3000343,104.7450091,114.6193943,151.0352663,127.0678589,73.84692842,92.20282291,146.0304141,149.766708,145.9142057,156.7591878,149.9153076,0,131.2661216,148.354388,0,0,135.7924844,103.7209806,145.7851436,83.83592466,99.87341887,91.15562076,109.067874,149.1527044,84.56975024,98.33314211,128.3882629,114.3106974,100.3122191,69.25603916,185.0510168,150.8683231,74.97762983,108.1877689,143.5119129,89.04051799,106.3517801,122.8483923,74.99158589,100.5250213,91.0418145,112.8502526,77.26684179,75.21255926,176.9580746,90.73359553,129.4601306,148.2064782,155.1717611,187.6758343,158.870931,139.9664381,157.7292839,240.670377,157.5867023,0,0,0,0,246.838823,142.441081,63.22838429,127.9808691,139.3347885,175.7227456,182.181109,0,131.6742236,112.2840015,164.2541268,196.2098021,159.9036735,141.6945458,284.4522199,153.4446484,66.59972387,113.915328,91.40483283,123.6619581,79.01191466,163.9448799,163.8501208,173.5722557,133.7841908
5.33_661.9740m/z,661.9739915,5.334316667,100 - 25.1 - 27.5,266.465319,192.9528617,0,304.0256991,0,0,285.9021355,270.8315573,268.8089072,259.9813688,162.8699974,209.2669481,172.8006063,236.2736973,296.8165068,231.5957819,281.4657726,239.462582,239.8086137,129.6202434,119.5091855,138.4046031,166.0014707,345.0372657,0,182.028383,162.8846048,0,0,189.4013706,288.2535374,277.7772956,287.4185525,228.9239027,246.5145652,321.0583462,254.7565798,282.8186178,329.7156762,275.2231634,229.25541,295.2036297,249.0382406,251.3970272,213.1652825,265.1816853,277.2912913,247.5892447,263.7307965,264.8730759,263.2756286,295.0788213,261.1596237,239.6842508,303.3065252,241.5855972,308.3870471,269.1705264,317.4592974,224.3398085,266.0142801,250.6178812,273.7663313,284.0757268,252.0063885,270.4977747,226.85214,308.1760465,0,0,0,0,266.9786374,233.6778895,321.3113732,234.5060258,324.2642493,280.6942902,264.588626,0,284.4960743,258.8090928,204.9328609,251.5490277,273.4485067,356.3565691,242.7467233,219.1618295,252.5274742,272.2899597,264.0492254,287.907576,239.5997336,219.440685,255.9950216,232.2071976,282.9738809
1.76_466.3307m/z,466.3307452,1.755983333,100 - 45.1 - 42.6 - 43.9 - 26.8 - 26,10441.23245,11544.71734,11299.20827,12520.35546,13849.39849,9744.995052,21281.67346,15559.68275,19681.02925,13559.75927,15994.57463,10866.02786,10804.53348,11331.37181,16775.17191,14704.27262,11613.12891,25590.79657,22542.44893,14676.64804,10057.25164,15123.07393,12424.27604,19577.92457,12820.82108,10179.67758,10500.79569,13971.27208,16841.82532,10491.40267,12771.95474,13450.22338,25487.9809,11545.68466,11594.80692,20007.1435,12193.25411,22775.78282,28138.63256,13753.31654,10731.9161,13143.63609,28947.08609,16862.55732,19647.44184,24063.10646,19353.4381,13670.15221,30028.46442,20130.14307,10455.99709,19103.08029,19721.98755,13674.03304,17081.53577,18751.62219,23681.42062,20942.25705,36555.59675,9140.724619,23934.264,17566.55367,34441.81086,18256.46254,22795.90387,26689.64648,26225.74421,10130.90537,15025.85956,15063.59568,13468.16347,11393.13108,54.54385555,12739.00433,21302.12361,19336.27487,39335.23056,14660.04619,7476.987134,10765.77099,12545.709,21119.88672,23106.85264,23054.57899,35055.11743,15870.87902,17773.53951,530.8038222,16476.7603,19438.9207,22997.69915,22368.85321,17167.3619,18759.34279,17898.83939,15654.31006,15692.50295
7.01_266.1066m/z,266.1066215,7.01335,100 - 30.5,1657.68654,1092.650271,194.4634925,1139.362001,219.1208978,164.1929332,1193.202262,708.2994794,876.8015469,500.9088739,1161.010533,305.8858931,1147.581471,975.446055,1707.778057,1223.217966,1346.284242,996.2974949,1141.838291,572.1139356,980.434003,313.3451474,836.6513079,656.3547933,100.453677,808.9378852,736.5499294,130.1758062,144.3303364,1088.973872,1070.907903,1026.805242,776.6082339,1061.499987,1055.77491,1617.318967,1079.155554,1212.621519,660.4784843,671.0895003,1270.054675,436.7427479,1021.998373,1057.960688,1084.875463,1295.157204,1132.095075,1209.257141,885.9480832,936.5928178,902.8315689,780.9340877,792.6779104,1156.453876,748.3251516,652.3802519,774.0921418,653.4565865,750.9279531,850.357274,1097.815622,912.9588879,835.7300732,1078.003293,729.4704991,846.9700024,567.560601,1033.807512,101.1845553,64.48198217,64.00964382,75.60293057,795.8119893,1075.031474,705.8947949,545.1577636,730.4267662,248.1569023,1369.618972,54.3060049,2254.147166,889.1043138,637.9352189,1051.831428,905.2000058,995.8769802,967.9231422,770.8638755,914.2407013,622.3081933,1109.694134,760.769676,803.883598,545.051265,580.7112997,593.7264586,704.2132471
5.48_675.9811m/z,675.9811003,5.47645,100 - 2.41,92.17437154,88.28234023,0,85.51600866,0,0.002577961,159.2848649,229.2265161,198.1500198,226.8555712,215.3917743,165.6675185,167.175291,157.3681152,126.086301,116.8062377,188.1122399,203.0426257,199.4863799,88.93016885,96.85051373,84.53159305,143.825446,295.8254604,11.13972372,104.5172199,148.9618906,0,11.82374246,210.0177829,109.8323522,225.0455214,163.5735783,161.8173559,117.8437431,247.5828254,184.9095516,177.338202,273.522239,98.08791907,73.50562962,94.33932775,152.051472,225.099737,173.9245423,130.7355479,117.1036614,164.67609,183.8673276,247.7058449,148.3315859,209.9277013,244.3361554,111.1648426,152.4898014,205.1566751,168.4181164,293.3310669,204.5621008,216.1340915,187.699705,217.7629154,220.692939,202.5592398,228.28494,234.1731925,283.5319876,110.3002924,0.968685727,2.307645411,0,18.17059661,402.1944853,179.3016926,212.317723,172.047989,276.6040927,165.2484866,97.92100918,0,66.10478113,243.2279307,171.0664841,151.433225,169.6390074,279.4410826,326.4961472,81.02232391,211.6006009,210.5015556,233.5485774,155.5311362,225.3050553,197.0922242,205.420529,225.4610012,264.8575298
