variable_id,mz,rt,isotope.dist,M91,M92,M94,M95,M96,M97,M93,M99,M100,M98,M85,M86,M90,M82,M83,M84,M88,M81,M87,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M72,M74,M76,M71,M75,M77,M78,M79,M73,M80,M51,M55,M56,M52,M54,M57,M58,M59,M60,M53,M45,M46,M48,M41,M43,M47,M49,M50,M42,M44,M32,M33,M34,M36,M40,M31,M35,M39,M29,M22,M23,M26,M27,M28,M24,M30,M25,M21,M12,M13,M17,M14,M16,M18,M19,M20,M11,M15,M107,M101,M102,M104,M105,M110,M103,M106,M108,M109
2.47_872.0757m/z,872.075721,2.474833333,100 - 1.63,896.5864462,1210.359414,286.8039142,766.2330619,343.4722831,326.9068466,398.3275965,633.6255656,438.7765703,785.5501272,623.5759204,319.104998,832.5019551,384.7217151,499.3398382,425.8190737,361.8662207,259.8856404,274.2329843,892.9212869,1037.42582,903.2375816,523.9960404,368.8909391,485.4230646,764.8609723,971.8629905,341.4718399,303.8907668,571.1814777,388.2610983,244.8614989,282.5112398,379.6907379,357.8652992,191.8213424,262.1825055,215.9098989,295.9846902,383.5872437,526.8822316,382.6198495,455.4905471,248.9832227,290.8004202,198.2859974,327.3967491,405.4937108,283.3523754,325.6426091,419.3062507,392.1866981,294.0579742,350.0816093,349.4122263,316.3072707,295.8232215,589.7886418,354.8501323,414.5843161,323.9610161,443.5370851,475.9073419,335.7407188,464.2895302,400.5005769,529.5594932,423.3711774,270.8284688,316.8155616,282.5008179,259.4018207,901.2162999,356.2034307,551.8150152,556.8996671,363.0056168,593.3139913,806.0662808,238.7438603,665.0685844,598.026759,483.7823063,426.2406568,407.3563021,293.240333,897.9630687,955.8151677,608.2499944,551.8800492,271.6092252,381.4842587,336.3390693,540.4356285,525.2004947,720.8976142,502.5522359
4.54_204.4794m/z,204.4794041,4.54445,100,283.2853429,579.8587284,0,29.1245161,0,0,0,0,0,0,187.5911377,757.6256705,328.4724595,0,0,0,0,0,0,2321.921796,989.351462,1106.81943,885.7562329,51.22330632,0,3506.769166,199.3501152,0,0,70.52823665,211.9281272,0,0,10.6610843,0.002139653,0,0.231244799,0,0,228.5476467,72.71462122,22.25797248,0,0.093312332,63.27734288,0,0,0,0,8.059779724,0.248954881,0.080794609,3.02500601,370.166343,0.552324382,0,71.77956129,0,0,99.30809451,121.5279689,1.766956944,4.025642288,0,0.013246382,290.3222489,29.59964374,233.5149358,0,0,0,0,1887.627746,391.6334868,6.259088635,1.110427267,0,1041.968838,0.366701101,0,92.5476894,0,0,137.9837409,50.05693912,0,0,441.4273405,0,0,0,0,0,0.097121792,0,0,0
1.10_485.3671m/z,485.367112,1.10155,100 - 31.6,5357.846189,7993.720619,5820.741477,6154.844098,8046.428311,7131.894308,4784.612638,5251.117424,3623.748289,4457.856675,10356.86972,8705.369239,6912.229238,5281.799294,3399.002023,3063.633669,2263.456576,6860.519773,3274.906806,7783.783518,6878.47654,5308.172485,4246.683702,6155.991446,5908.570272,6851.507236,7539.842896,5980.99476,6367.545824,6332.260677,7521.105284,4937.854544,5704.084386,2688.375482,3350.468618,4370.730839,3778.803424,5571.993595,3821.809133,5446.651741,6021.448412,4624.704287,5002.313097,2682.312734,5087.252012,5597.773834,3453.030082,4124.963794,3639.797093,6140.077503,2312.238131,3184.788769,4672.659752,3500.243758,4337.695981,3260.316489,3726.643474,5246.034035,3607.098815,3122.493731,4916.973692,3742.210263,2975.779653,3922.923062,3050.794305,3040.400144,4489.735295,3743.349837,4874.778222,3894.708904,3997.880593,3855.739494,816.9732386,2645.436527,4887.300461,3875.418531,3042.882746,4033.80856,7935.359233,4310.327571,2485.151654,4848.930688,3402.155023,4769.865232,5901.103222,2531.612625,3813.850375,5287.659484,4599.048985,2735.855141,3167.500078,3918.48544,3947.148153,5273.448307,6123.562483,4815.438316,4665.408755
4.64_121.0323m/z,121.0322798,4.637283333,100,0,0,108.8061722,0.025465213,129.2802382,92.81414854,0,0,0,0,0,0,0,0.604163492,0,0,0,0,0,0,1.063651923,0,0,0,255.2197583,0,2.58861107,288.9988384,313.1500277,0,0,0.012633227,0,0,0,0,0,0,0,0,0,0,0,0,0.072372852,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.067631771,55.0549854,78.90040867,101.5381512,93.63864751,0,0,0,0,0,0.295161106,0,132.3002027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.76_241.1927m/z,241.1927149,1.755983333,100 - 0.531,26.15147189,265.9327303,101.2182228,302.0649018,13.84405079,88.19092816,136.018698,226.7297625,220.3317794,370.5511135,228.6912524,34.68851056,61.48908839,113.3404527,192.7770396,79.98480654,155.8063485,137.5086501,136.7217514,34.14332686,90.82991396,53.75610879,279.1233696,43.01119604,5.905792745,2.441632662,129.3298465,29.71234681,76.76493743,33.44268426,98.4787825,62.50769199,139.3557448,22.89812148,80.36703767,165.8708857,55.90852615,63.97675708,126.9829415,44.35969566,7.697810615,47.4099688,118.106839,21.46083731,44.4927907,37.3373322,65.67256452,0.658785238,140.9251788,129.1431087,16.00916482,105.9179605,55.14769995,2.011553291,95.50477496,111.1802981,76.3665926,136.2638481,71.56298309,18.96619665,115.5505932,242.0386688,91.12624669,125.7988042,144.5040447,165.927032,175.3030958,237.5794782,151.698761,8.955121759,27.43343881,74.02492668,0.67618623,101.2945991,47.54244408,107.3714427,115.0398881,78.60130711,387.8662133,60.9772152,127.1645091,295.7546648,162.022608,125.5605978,86.2075438,124.0607601,215.4418443,39.71273399,301.8984673,371.6619409,192.8034853,247.5886561,257.8285977,243.8112354,247.2713128,459.9458673,289.009563
5.04_456.0348m/z,456.0348307,5.042233333,100 - 64.6 - 20,0,0,0,0,0,0,0,31.49740323,0,22.87260437,83.82786059,2.792068481,20.04774575,3.097303814,0,10.14242554,39.77058411,12.3097391,0,0,0,0,0,0,0,0,0,0,0,4.079544187,10.72880115,20.15093982,13.91386461,17.23753127,10.26269637,90.5278432,32.44789147,0,9.57434082,0,2.379517517,0,0,76.87194402,20.6398164,13.14402771,0,9.350158811,12.01699829,41.17234802,0,0,25.00714111,0,0,0,0,56.30504445,0,17.19529676,0,12.49703979,14.57090759,0,18.00561523,36.76086426,66.53317062,0,0,0,0,0,7.192047358,21.12057495,4.278991699,0,7.906555176,0,0,0,0,6.777572632,0,3.523864746,0,6.050231934,19.12586951,0,6.894858603,0,26.98755723,0,14.19760132,17.94450747,0,13.63322449,39.24528068
6.02_360.1517m/z,360.1516663,6.017283333,100,157.88996,112.1618929,0.535676907,47.04843887,0,3.494384706,63.77085089,4.179275632,4.544115052,2.033643203,16.36864764,298.9270752,33.04169609,132.7621538,12.40254943,12.73414233,23.44564696,34.74471765,88.01146559,35.02527488,90.3162612,20.17070457,165.4985351,2017.95082,0,75.84309024,6570.763277,0,0,164.2130838,35.67435516,239.9217398,0,0,113.7816062,5.45160964,0,4.974556291,202.4068083,216.613666,132.6979248,249.7368713,26.29861625,35.56776766,7.447380422,243.3747916,13.87197999,18.20436585,7.280883789,0,4.099810062,100.9066466,10.93768792,140.8799278,133.9579541,169.1796486,735.5509177,45.99571538,64.52814756,84.55930661,3.094419829,2.719715477,0.023945724,107.90579,3.432528354,9.55660726,0,331.6722922,0,0.640657818,0,2.087219179,18.97147821,17.8771567,25.63873936,117.5101831,0,17.09391688,32.55377666,0,17.26212405,5.607817313,69.10541298,139.7966454,12.32034925,37.44860328,0,62.59918701,1.557220459,16.38258251,6.591827838,31.38123881,5.610644323,20.1033259,50.23621378,44.12645372,8.759915859
5.48_498.4706m/z,498.4706477,5.47645,100,13.4798739,22.76402283,0,35.96560553,0,0,4.615158081,0,0,3.808604745,16.56267134,0,12.07002258,6.052703857,11.0080874,12.7052002,0,4.121963382,0,21.57528722,20.11023144,22.2577953,10.15899611,5.906036377,0,19.8184967,9.572361713,0,0,5.507019043,33.3096161,12.5969696,5.559570313,3.615402222,0,0,9.658432007,4.731765747,8.210021734,18.16600037,29.26401361,25.1581133,4.765441656,4.678497314,0,9.350997806,4.185546875,0,0,0,6.394610979,3.903747439,4.033676147,5.062255859,15.50785399,0,0,0,0,0,0,0,0,0,0,0,0,24.2349803,0,0,0,0,16.44126892,0,0,0,0,27.10424303,32.23873878,0,5.345478546,0,5.452194214,0,0,2.671112001,0,20.11434925,0,5.048110962,0,3.947769165,0,0,0,0,0
0.97_540.0276m/z,540.0275776,0.966416667,100,15.90222216,0,0,0,0,14.50415039,27.30184937,51.59345039,29.69601488,0,0,0,0,11.48180553,0,0,0,7.6769104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.16802979,0,8.586578369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.680450201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.794694441,0,0,0,0,0,10.77972412,16.4022522,0,0,0,0,0,20.20715332,0,0
5.33_743.9779m/z,743.9778516,5.334316667,100 - 27.2 - 38.4 - 3.66,308.5678296,276.3476465,0,320.2869929,0,0,240.8014921,237.6844006,194.6421297,209.1478091,318.2130963,324.3846652,290.4673934,226.7543787,193.5838916,238.8357665,221.8264132,206.6893161,201.9115946,232.1805994,234.2344699,234.3082078,286.4946915,336.7663672,0.001450373,222.7563522,240.8114346,0,0,316.7573962,379.6757683,332.1818396,228.1466535,257.2708653,224.5322357,235.6279541,214.7528351,165.3344197,226.9195651,312.5487611,332.0955948,291.8032819,218.5499795,277.7516623,258.5358568,219.6465174,205.401652,236.3340956,152.4163632,245.3813545,241.2949078,239.4417652,252.5317313,237.8848877,242.3409688,202.9826305,249.1525956,246.149744,194.5425411,271.4722084,256.1361927,232.6709483,221.1153292,236.443074,199.9620774,216.5502457,219.7140901,358.4203724,0,0,0,0,339.9919476,213.0087043,265.4979955,211.2285201,193.789063,359.8495106,328.4179343,0,295.6661074,241.1269236,230.6653998,225.5866118,261.2923516,207.6820288,207.8180241,281.0709178,197.1473584,199.8047425,236.5428376,184.5291582,211.6587851,225.0460214,236.4309401,212.5924098,224.4914961
